Tm,Year?,,Opp,Result,OT,Pass completions,Pass completetions,Pass completion percent,Passing yards,Passing TDs,Intercetions,Passer rating
,,,,,,,,,,,,
GNB,2020,,TAM,L 26-31,,33,48,68.8,314,3,1,101.6
TAM,2020,@,GNB,W 31-26,,20,36,55.6,275,3,3,73.8
KAN,2018,,NWE,L 31-37,OT,16,31,51.6,249,3,0,117
NWE,2018,@,KAN,W 37-31,OT,30,46,65.2,348,1,2,77.1
NWE,2017,,JAX,W 24-20,,27,39,69.2,298,2,0,110
JAX,2017,@,NWE,L 20-24,,23,36,63.9,273,1,0,98.5
NWE,2016,,PIT,W 36-17,,32,42,76.2,374,3,0,127.5
PIT,2016,@,NWE,L 17-36,,31,47,66,314,1,1,83.1
DEN,2015,,NWE,W 20-18,,17,32,53.1,145,2,0,90.1
NWE,2015,@,DEN,L 18-20,,27,56,48.2,292,1,2,56.4
NWE,2014,,IND,W 45-7,,23,35,65.7,220,3,1,100.4
IND,2014,@,NWE,L 7-45,,12,33,36.4,126,0,2,23
DEN,2013,,NWE,W 26-16,,32,43,74.4,400,2,0,118.4
NWE,2013,@,DEN,L 16-26,,24,38,63.2,256,1,0,93.9
BAL,2012,@,NWE,W 28-13,,21,36,58.3,235,3,0,106.2
NWE,2012,,BAL,L 13-28,,29,54,53.7,320,1,2,62.3
BAL,2011,@,NWE,L 20-23,,22,36,61.1,282,2,1,95.4
NWE,2011,,BAL,W 23-20,,22,36,61.1,234,0,2,57.5
NWE,2007,,SDG,W 21-12,,22,33,66.7,198,2,3,66.4
SDG,2007,@,NWE,L 12-21,,19,37,51.4,207,0,2,46.1
IND,2006,,NWE,W 38-34,,27,47,57.4,330,1,1,79.1
NWE,2006,@,IND,L 34-38,,21,34,61.8,226,1,1,79.5
NWE,2004,@,PIT,W 41-27,,14,21,66.7,196,2,0,130.5
PIT,2004,,NWE,L 27-41,,14,24,58.3,225,2,3,78.1
IND,2003,@,NWE,L 14-24,,23,47,48.9,208,1,4,35.5
NWE,2003,,IND,W 24-14,,22,37,59.5,237,1,1,76.1
NWE,2001,@,PIT,W 24-17,,22,39,56.4,192,1,0,80.8
PIT,2001,,NWE,L 17-24,,24,42,57.1,248,0,3,45.2
