,Teamn,Year,@,Opponent,Result,Rushing yards,Rusing TDs,Pass completions,Pass completetions,Pass completion percent,Passing yards,Passing TDs,Intercetions,Passer rating,Offensive Rating,Defensive Rating
0,,,,,,,,,,,,,,,0,0
1,GNB,2020.0,,TAM,L 26-31,67.0,0.0,33.0,48.0,68.8,314.0,3.0,1.0,101.6,1,13
2,TAM,2020.0,@,GNB,W 31-26,76.0,1.0,20.0,36.0,55.6,275.0,3.0,3.0,73.8,3,8
3,KAN,2018.0,,NWE,L 31-37,41.0,1.0,16.0,31.0,51.6,249.0,3.0,0.0,117.0,1,24
4,NWE,2018.0,@,KAN,W 37-31,176.0,4.0,30.0,46.0,65.2,348.0,1.0,2.0,77.1,4,7
5,JAX,2017.0,@,NWE,L 20-24,101.0,1.0,23.0,36.0,63.9,273.0,1.0,0.0,98.5,5,2
6,NWE,2017.0,,JAX,W 24-20,46.0,1.0,27.0,39.0,69.2,298.0,2.0,0.0,110.0,2,5
7,NWE,2016.0,,PIT,W 36-17,57.0,1.0,32.0,42.0,76.2,374.0,3.0,0.0,127.5,3,1
8,PIT,2016.0,@,NWE,L 17-36,54.0,1.0,31.0,47.0,66.0,314.0,1.0,1.0,83.1,11,10
9,DEN,2015.0,,NWE,W 20-18,99.0,0.0,17.0,32.0,53.1,145.0,2.0,0.0,90.1,19,4
10,NWE,2015.0,@,DEN,L 18-20,44.0,1.0,27.0,56.0,48.2,292.0,1.0,2.0,56.4,3,10
11,IND,2014.0,@,NWE,L 7-45,83.0,1.0,12.0,33.0,36.4,126.0,0.0,2.0,23.0,6,19
12,NWE,2014.0,,IND,W 45-7,177.0,3.0,23.0,35.0,65.7,220.0,3.0,1.0,100.4,4,8
13,DEN,2013.0,,NWE,W 26-16,107.0,0.0,32.0,43.0,74.4,400.0,2.0,0.0,118.4,1,22
14,NWE,2013.0,@,DEN,L 16-26,64.0,1.0,24.0,38.0,63.2,256.0,1.0,0.0,93.9,3,10
15,NWE,2012.0,,BAL,L 13-28,108.0,0.0,29.0,54.0,53.7,320.0,1.0,2.0,62.3,1,9
16,BAL,2012.0,@,NWE,W 28-13,121.0,1.0,21.0,36.0,58.3,235.0,3.0,0.0,106.2,10,12
17,NWE,2011.0,,BAL,W 23-20,96.0,2.0,22.0,36.0,61.1,234.0,0.0,2.0,57.5,3,15
18,BAL,2011.0,@,NWE,L 20-23,116.0,0.0,22.0,36.0,61.1,282.0,2.0,1.0,95.4,12,3
19,NWE,2007.0,,SDG,W 21-12,149.0,1.0,22.0,33.0,66.7,198.0,2.0,3.0,66.4,1,4
20,SDG,2007.0,@,NWE,L 12-21,104.0,0.0,19.0,37.0,51.4,207.0,0.0,2.0,46.1,5,5
21,IND,2006.0,,NWE,W 38-34,125.0,2.0,27.0,47.0,57.4,330.0,1.0,1.0,79.1,2,23
22,NWE,2006.0,@,IND,L 34-38,93.0,1.0,21.0,34.0,61.8,226.0,1.0,1.0,79.5,7,2
23,NWE,2004.0,@,PIT,W 41-27,126.0,2.0,14.0,21.0,66.7,196.0,2.0,0.0,130.5,4,2
24,PIT,2004.0,,NWE,L 27-41,163.0,1.0,14.0,24.0,58.3,225.0,2.0,3.0,78.1,11,1
25,IND,2003.0,@,NWE,L 14-24,98.0,1.0,23.0,47.0,48.9,208.0,1.0,4.0,35.5,2,20
26,NWE,2003.0,,IND,W 24-14,112.0,0.0,22.0,37.0,59.5,237.0,1.0,1.0,76.1,12,1
27,NWE,2001.0,@,PIT,W 24-17,67.0,0.0,22.0,39.0,56.4,192.0,1.0,0.0,80.8,6,22
28,PIT,2001.0,,NWE,L 17-24,58.0,2.0,24.0,42.0,57.1,248.0,0.0,3.0,45.2,7,21
