,,,,,,,,,,,,,Passing,,,,,,,,,,,Scoring,,,,,,,,,
Rk,Player,Pos,Age,Date,Lg,Tm,,Opp,Result,G#,Week,Day,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,XPM,XPA,XP%,FGM,FGA,FG%,2PM,Sfty,TD,Pts
1,Tom Brady,QB,39.186,2/5/2017,NFL,NWE,N,ATL,W 34-28,19,21,Sun,43,62,69.35,466,2,1,95.2,5,24,7.52,7.44,,,,,,,,,0,0
2,Tom Brady,QB,30.184,2/3/2008,NFL,NWE,N,NYG,L 14-17,19,21,Sun,29,48,60.42,266,1,0,82.5,5,37,5.54,5.96,,,,,,,,,0,0
3,Tom Brady,QB,24.184,2/3/2002,NFL,NWE,N,STL,W 20-17,19,20,Sun,16,27,59.26,145,1,0,86.2,1,7,5.37,6.11,,,,,,,,,0,0
4,Tom Brady,QB,40.185,2/4/2018,NFL,NWE,N,PHI,L 33-41,19,21,Sun,28,48,58.33,505,3,0,115.4,1,5,10.52,11.77,,,,,,,,,0,0
5,Tom Brady,QB,34.186,2/5/2012,NFL,NWE,N,NYG,L 17-21,19,21,Sun,27,41,65.85,276,2,1,91.1,2,10,6.73,6.61,,,,,,,,,0,0
6,Tom Brady,QB,26.182,2/1/2004,NFL,NWE,N,CAR,W 32-29,19,21,Sun,32,48,66.67,354,3,1,100.5,0,0,7.38,7.69,,,,,,,,,0,0
7,Tom Brady,QB,41.184,2/3/2019,NFL,NWE,N,LAR,W 13-3,19,21,Sun,21,35,60,262,0,1,71.4,1,9,7.49,6.2,,,,,,,,,0,0
8,Tom Brady,QB,37.182,2/1/2015,NFL,NWE,N,SEA,W 28-24,19,21,Sun,37,50,74,328,4,2,101.1,1,8,6.56,6.36,,,,,,,,,0,0
9,Tom Brady,QB,27.187,2/6/2005,NFL,NWE,N,PHI,W 24-21,19,20,Sun,23,33,69.7,236,2,0,110.2,2,17,7.15,8.36,,,,,,,,,0,0
